Timestamp,Data
2025-02-22 15:59:47,Gyroscope: X: 717.50 Y: -280.00 Z: 192.50
2025-02-22 15:59:47,337
2025-02-22 15:59:47,Accelerometer: X: -1002.72 Y: -71.49 Z: 64.05
2025-02-22 15:59:48,Gyroscope: X: 332.50 Y: -297.50 Z: 175.00
2025-02-22 15:59:48,333
2025-02-22 15:59:48,Accelerometer: X: -1002.23 Y: -79.42 Z: 64.66
2025-02-22 15:59:49,Gyroscope: X: 227.50 Y: -350.00 Z: 175.00
2025-02-22 15:59:49,329
2025-02-22 15:59:49,Accelerometer: X: -1001.62 Y: -103.70 Z: 66.86
2025-02-22 15:59:50,Gyroscope: X: -3395.00 Y: -17.50 Z: 822.50
2025-02-22 15:59:50,329
2025-02-22 15:59:51,Accelerometer: X: -1002.60 Y: -72.83 Z: 63.68
2025-02-22 15:59:51,Gyroscope: X: 297.50 Y: -315.00 Z: 105.00
2025-02-22 15:59:51,330
2025-02-22 15:59:52,Accelerometer: X: -1002.60 Y: -73.44 Z: 64.66
2025-02-22 15:59:52,Gyroscope: X: 367.50 Y: -315.00 Z: 122.50
2025-02-22 15:59:52,335
2025-02-22 15:59:53,Accelerometer: X: -1002.60 Y: -73.57 Z: 63.56
2025-02-22 15:59:53,Gyroscope: X: 245.00 Y: -315.00 Z: 210.00
2025-02-22 15:59:53,340
2025-02-22 15:59:54,Accelerometer: X: -1002.47 Y: -72.96 Z: 64.66
2025-02-22 15:59:54,Gyroscope: X: 472.50 Y: -297.50 Z: 140.00
2025-02-22 15:59:54,338
2025-02-22 15:59:55,Accelerometer: X: -1002.60 Y: -71.00 Z: 63.93
2025-02-22 15:59:55,Gyroscope: X: 367.50 Y: -315.00 Z: 87.50
2025-02-22 15:59:55,336
2025-02-22 15:59:56,Accelerometer: X: -1002.60 Y: -79.91 Z: 63.93
2025-02-22 15:59:56,Gyroscope: X: 455.00 Y: -280.00 Z: 52.50
2025-02-22 15:59:56,336
2025-02-22 15:59:57,Accelerometer: X: -1001.62 Y: -98.09 Z: 64.17
2025-02-22 15:59:57,Gyroscope: X: -4462.50 Y: -332.50 Z: 490.00
2025-02-22 15:59:57,330
2025-02-22 15:59:58,Accelerometer: X: -1002.60 Y: -72.96 Z: 63.68
2025-02-22 15:59:58,Gyroscope: X: 367.50 Y: -315.00 Z: 87.50
2025-02-22 15:59:58,328
2025-02-22 15:59:59,Accelerometer: X: -1002.60 Y: -73.08 Z: 64.66
2025-02-22 15:59:59,Gyroscope: X: 280.00 Y: -332.50 Z: 157.50
2025-02-22 15:59:59,328
2025-02-22 16:00:00,Accelerometer: X: -1002.60 Y: -71.98 Z: 63.93
2025-02-22 16:00:00,Gyroscope: X: 577.50 Y: -297.50 Z: 70.00
2025-02-22 16:00:00,329
2025-02-22 16:00:01,Accelerometer: X: -1002.60 Y: -73.81 Z: 64.54
2025-02-22 16:00:01,Gyroscope: X: 315.00 Y: -350.00 Z: 175.00
2025-02-22 16:00:01,327
2025-02-22 16:00:02,Accelerometer: X: -1002.60 Y: -70.76 Z: 64.17
2025-02-22 16:00:02,Gyroscope: X: 315.00 Y: -227.50 Z: 70.00
2025-02-22 16:00:02,326
2025-02-22 16:00:03,Accelerometer: X: -1002.23 Y: -83.94 Z: 64.17
2025-02-22 16:00:03,Gyroscope: X: -17.50 Y: -402.50 Z: 367.50
2025-02-22 16:00:03,333
2025-02-22 16:00:04,Accelerometer: X: -1002.35 Y: -81.13 Z: 62.59
2025-02-22 16:00:04,Gyroscope: X: -4742.50 Y: -455.00 Z: 525.00
2025-02-22 16:00:05,343
2025-02-22 16:00:05,Accelerometer: X: -1002.60 Y: -73.08 Z: 63.93
2025-02-22 16:00:05,Gyroscope: X: 402.50 Y: -262.50 Z: 175.00
2025-02-22 16:00:06,340
2025-02-22 16:00:06,Accelerometer: X: -1002.47 Y: -73.32 Z: 64.66
2025-02-22 16:00:06,Gyroscope: X: 402.50 Y: -297.50 Z: 122.50
2025-02-22 16:00:06,340
2025-02-22 16:00:07,Accelerometer: X: -1002.60 Y: -71.74 Z: 63.93
2025-02-22 16:00:07,Gyroscope: X: 245.00 Y: -437.50 Z: 140.00
2025-02-22 16:00:08,337
2025-02-22 16:00:08,Accelerometer: X: -1002.35 Y: -74.79 Z: 64.90
2025-02-22 16:00:08,Gyroscope: X: 367.50 Y: -280.00 Z: 157.50
2025-02-22 16:00:09,332
2025-02-22 16:00:10,Accelerometer: X: -1002.72 Y: -68.69 Z: 64.17
2025-02-22 16:00:11,Gyroscope: X: 350.00 Y: -385.00 Z: 210.00
2025-02-22 16:00:12,327
2025-02-22 16:00:13,Accelerometer: X: -1001.86 Y: -91.26 Z: 59.17
2025-02-22 16:00:14,Gyroscope: X: -4935.00 Y: -420.00 Z: 52.50
2025-02-22 16:00:15,332
2025-02-22 16:00:15,Accelerometer: X: -1002.60 Y: -73.20 Z: 64.78
2025-02-22 16:00:16,Gyroscope: X: 350.00 Y: -245.00 Z: 140.00
2025-02-22 16:00:17,332
2025-02-22 16:00:18,Accelerometer: X: -1002.47 Y: -72.96 Z: 63.68
2025-02-22 16:00:19,Gyroscope: X: 315.00 Y: -262.50 Z: 175.00
2025-02-22 16:00:20,332
2025-02-22 16:00:21,Accelerometer: X: -1002.47 Y: -72.96 Z: 64.78
2025-02-22 16:00:22,Gyroscope: X: 332.50 Y: -227.50 Z: 157.50
2025-02-22 16:00:22,338
2025-02-22 16:00:23,Accelerometer: X: -1002.60 Y: -76.01 Z: 63.44
2025-02-22 16:00:24,Gyroscope: X: -175.00 Y: -315.00 Z: 227.50
2025-02-22 16:00:25,340
2025-02-22 16:00:26,Accelerometer: X: -1002.35 Y: -75.15 Z: 64.66
2025-02-22 16:00:27,Gyroscope: X: 332.50 Y: -332.50 Z: 122.50
2025-02-22 16:00:28,339
2025-02-22 16:00:28,Accelerometer: X: -1003.08 Y: -61.73 Z: 64.66
2025-02-22 16:00:29,Gyroscope: X: 1015.00 Y: -227.50 Z: 140.00
2025-02-22 16:00:30,336
2025-02-22 16:00:31,Accelerometer: X: -1003.69 Y: -44.04 Z: 63.07
2025-02-22 16:00:32,Gyroscope: X: 7332.50 Y: -455.00 Z: -192.50
2025-02-22 16:00:33,326
2025-02-22 16:00:33,Accelerometer: X: -1002.60 Y: -73.32 Z: 64.54
2025-02-22 16:00:34,Gyroscope: X: 280.00 Y: -367.50 Z: 87.50
2025-02-22 16:00:35,328
2025-02-22 16:00:36,Accelerometer: X: -1001.99 Y: -72.96 Z: 63.93
2025-02-22 16:00:37,Gyroscope: X: 350.00 Y: -140.00 Z: -52.50
2025-02-22 16:00:38,328
2025-02-22 16:00:38,Accelerometer: X: -1002.60 Y: -73.44 Z: 64.29
2025-02-22 16:00:39,Gyroscope: X: 332.50 Y: -315.00 Z: 140.00
2025-02-22 16:00:40,328
2025-02-22 16:00:41,Accelerometer: X: -1002.60 Y: -72.47 Z: 63.68
2025-02-22 16:00:42,Gyroscope: X: 350.00 Y: -262.50 Z: 70.00
2025-02-22 16:00:42,329
2025-02-22 16:00:43,Accelerometer: X: -1002.60 Y: -75.03 Z: 64.54
2025-02-22 16:00:43,Gyroscope: X: 420.00 Y: -315.00 Z: 175.00
2025-02-22 16:00:43,332
2025-02-22 16:00:44,Accelerometer: X: -1002.96 Y: -67.34 Z: 64.42
2025-02-22 16:00:44,Gyroscope: X: 350.00 Y: -420.00 Z: 122.50
2025-02-22 16:00:44,339
2025-02-22 16:00:44,Accelerometer: X: -1003.33 Y: -49.90 Z: 65.39
2025-02-22 16:00:45,Gyroscope: X: 5617.50 Y: -367.50 Z: -332.50
2025-02-22 16:00:45,340
2025-02-22 16:00:45,Accelerometer: X: -1002.72 Y: -73.44 Z: 64.66
2025-02-22 16:00:45,Gyroscope: X: 402.50 Y: -332.50 Z: 140.00
2025-02-22 16:00:46,339
2025-02-22 16:00:46,Accelerometer: X: -1002.72 Y: -72.96 Z: 64.05
2025-02-22 16:00:46,Gyroscope: X: 367.50 Y: -315.00 Z: 210.00
2025-02-22 16:00:46,339
2025-02-22 16:00:47,Accelerometer: X: -1002.72 Y: -74.66 Z: 64.66
2025-02-22 16:00:47,Gyroscope: X: 245.00 Y: -245.00 Z: 175.00
2025-02-22 16:00:47,333
2025-02-22 16:00:47,Accelerometer: X: -1002.35 Y: -72.59 Z: 64.17
2025-02-22 16:00:48,Gyroscope: X: 367.50 Y: -262.50 Z: 157.50
2025-02-22 16:00:48,328
2025-02-22 16:00:48,Accelerometer: X: -1002.47 Y: -76.49 Z: 64.90
2025-02-22 16:00:48,Gyroscope: X: 315.00 Y: -385.00 Z: 122.50
2025-02-22 16:00:49,328
2025-02-22 16:00:49,Accelerometer: X: -1003.57 Y: -37.82 Z: 67.83
2025-02-22 16:00:49,Gyroscope: X: 2135.00 Y: -210.00 Z: -157.50
2025-02-22 16:00:50,322
2025-02-22 16:00:50,Accelerometer: X: -1003.08 Y: -58.07 Z: 70.64
2025-02-22 16:00:50,Gyroscope: X: 9240.00 Y: -245.00 Z: -140.00
2025-02-22 16:00:50,337
2025-02-22 16:00:51,Accelerometer: X: -1002.60 Y: -73.20 Z: 64.90
2025-02-22 16:00:51,Gyroscope: X: 350.00 Y: -455.00 Z: 297.50
2025-02-22 16:00:51,339
2025-02-22 16:00:51,Accelerometer: X: -1002.60 Y: -73.20 Z: 63.56
2025-02-22 16:00:52,Gyroscope: X: 350.00 Y: -385.00 Z: 70.00
2025-02-22 16:00:52,337
2025-02-22 16:00:52,Accelerometer: X: -1002.60 Y: -74.30 Z: 64.90
2025-02-22 16:00:52,Gyroscope: X: 350.00 Y: -280.00 Z: 157.50
2025-02-22 16:00:53,339
2025-02-22 16:00:53,Accelerometer: X: -1002.84 Y: -72.22 Z: 63.93
2025-02-22 16:00:53,Gyroscope: X: 367.50 Y: -297.50 Z: 157.50
2025-02-22 16:00:53,338
2025-02-22 16:00:54,Accelerometer: X: -1002.35 Y: -78.20 Z: 64.42
2025-02-22 16:00:54,Gyroscope: X: 420.00 Y: -297.50 Z: 210.00
2025-02-22 16:00:54,333
2025-02-22 16:00:54,Accelerometer: X: -1003.33 Y: -46.97 Z: 66.98
2025-02-22 16:00:55,Gyroscope: X: -210.00 Y: -262.50 Z: 140.00
2025-02-22 16:00:55,325
2025-02-22 16:00:55,Accelerometer: X: -1002.60 Y: -73.08 Z: 63.68
2025-02-22 16:00:56,Gyroscope: X: 315.00 Y: -297.50 Z: 122.50
2025-02-22 16:00:56,328
2025-02-22 16:00:56,Accelerometer: X: -1002.60 Y: -73.20 Z: 64.42
2025-02-22 16:00:56,Gyroscope: X: 385.00 Y: -332.50 Z: 87.50
2025-02-22 16:00:57,327
2025-02-22 16:00:57,Accelerometer: X: -1002.72 Y: -73.08 Z: 64.05
2025-02-22 16:00:57,Gyroscope: X: 297.50 Y: -297.50 Z: 70.00
2025-02-22 16:00:57,325
2025-02-22 16:00:58,Accelerometer: X: -1002.47 Y: -73.08 Z: 64.42
2025-02-22 16:00:58,Gyroscope: X: 560.00 Y: -332.50 Z: 105.00
2025-02-22 16:00:58,328
2025-02-22 16:00:59,Accelerometer: X: -1002.60 Y: -71.86 Z: 64.17
2025-02-22 16:00:59,Gyroscope: X: 315.00 Y: -332.50 Z: 122.50
2025-02-22 16:00:59,334
2025-02-22 16:00:59,Accelerometer: X: -1002.47 Y: -77.47 Z: 64.05
2025-02-22 16:00:59,Gyroscope: X: 350.00 Y: -315.00 Z: 227.50
2025-02-22 16:01:00,337
2025-02-22 16:01:00,Accelerometer: X: -1002.11 Y: -94.31 Z: 63.68
2025-02-22 16:01:00,Gyroscope: X: -4900.00 Y: -402.50 Z: 577.50
2025-02-22 16:01:00,336
2025-02-22 16:01:01,Accelerometer: X: -1002.60 Y: -72.96 Z: 64.05
2025-02-22 16:01:01,Gyroscope: X: 385.00 Y: -315.00 Z: 122.50
2025-02-22 16:01:01,335
2025-02-22 16:01:01,Accelerometer: X: -1002.60 Y: -73.32 Z: 64.42
2025-02-22 16:01:02,Gyroscope: X: 455.00 Y: -280.00 Z: 192.50
2025-02-22 16:01:02,335
2025-02-22 16:01:02,Accelerometer: X: -1002.60 Y: -72.83 Z: 63.68
2025-02-22 16:01:02,Gyroscope: X: 315.00 Y: -350.00 Z: 192.50
2025-02-22 16:01:03,331
2025-02-22 16:01:03,Accelerometer: X: -1002.35 Y: -73.81 Z: 64.66
2025-02-22 16:01:03,Gyroscope: X: 350.00 Y: -297.50 Z: 122.50
2025-02-22 16:01:04,327
2025-02-22 16:01:04,Accelerometer: X: -1002.72 Y: -71.13 Z: 63.81
2025-02-22 16:01:04,Gyroscope: X: 332.50 Y: -280.00 Z: 52.50
2025-02-22 16:01:04,325
2025-02-22 16:01:05,Accelerometer: X: -1001.99 Y: -85.89 Z: 64.78
2025-02-22 16:01:05,Gyroscope: X: -367.50 Y: -192.50 Z: -17.50
2025-02-22 16:01:05,329
2025-02-22 16:01:06,Accelerometer: X: -1001.25 Y: -115.90 Z: 59.41
2025-02-22 16:01:06,Gyroscope: X: -18077.50 Y: -507.50 Z: 1715.00
2025-02-22 16:01:06,339
2025-02-22 16:01:06,Accelerometer: X: -1002.60 Y: -72.71 Z: 63.44
