Timestamp,Data
2025-02-22 15:41:04,Hello
2025-02-22 15:41:04,Reset.
2025-02-22 15:41:04,Applying settings.
2025-02-22 15:41:05,Accelerometer: X: 588.53 Y: -343.80 Z: -587.55
2025-02-22 15:41:05,Gyroscope: X: -8995.00 Y: 8697.50 Z: 122.50
2025-02-22 15:41:05,932
2025-02-22 15:41:06,Accelerometer: X: -117.24 Y: -32.09 Z: -965.63
2025-02-22 15:41:06,Gyroscope: X: 367.50 Y: -297.50 Z: 157.50
2025-02-22 15:41:06,933
2025-02-22 15:41:06,Accelerometer: X: -117.36 Y: -31.96 Z: -966.00
2025-02-22 15:41:07,Gyroscope: X: 367.50 Y: -262.50 Z: 157.50
2025-02-22 15:41:07,934
2025-02-22 15:41:07,Accelerometer: X: -117.49 Y: -31.96 Z: -966.36
2025-02-22 15:41:08,Gyroscope: X: 350.00 Y: -315.00 Z: 192.50
2025-02-22 15:41:08,933
2025-02-22 15:41:08,Accelerometer: X: -117.61 Y: -31.84 Z: -966.00
2025-02-22 15:41:09,Gyroscope: X: 350.00 Y: -280.00 Z: 175.00
2025-02-22 15:41:09,934
2025-02-22 15:41:09,Accelerometer: X: -117.36 Y: -31.96 Z: -966.00
2025-02-22 15:41:09,Gyroscope: X: 420.00 Y: -332.50 Z: 140.00
2025-02-22 15:41:10,933
2025-02-22 15:41:10,Accelerometer: X: -118.83 Y: -31.96 Z: -965.75
2025-02-22 15:41:10,Gyroscope: X: 350.00 Y: -262.50 Z: 122.50
2025-02-22 15:41:11,934
2025-02-22 15:41:11,Accelerometer: X: -118.95 Y: -31.72 Z: -965.75
2025-02-22 15:41:12,Gyroscope: X: 402.50 Y: -385.00 Z: 192.50
2025-02-22 15:41:12,934
2025-02-22 15:41:12,Accelerometer: X: -119.07 Y: -31.84 Z: -965.87
2025-02-22 15:41:13,Gyroscope: X: 420.00 Y: -402.50 Z: 140.00
2025-02-22 15:41:13,934
2025-02-22 15:41:13,Accelerometer: X: -118.95 Y: -31.60 Z: -965.87
2025-02-22 15:41:14,Gyroscope: X: 350.00 Y: -262.50 Z: 157.50
2025-02-22 15:41:14,932
2025-02-22 15:41:14,Accelerometer: X: -119.19 Y: -31.84 Z: -966.00
2025-02-22 15:41:15,Gyroscope: X: 367.50 Y: -385.00 Z: 122.50
2025-02-22 15:41:15,933
2025-02-22 15:41:15,Accelerometer: X: -119.07 Y: -31.84 Z: -966.00
2025-02-22 15:41:16,Gyroscope: X: 385.00 Y: -315.00 Z: 87.50
2025-02-22 15:41:16,933
2025-02-22 15:41:16,Accelerometer: X: -119.19 Y: -31.84 Z: -965.75
2025-02-22 15:41:17,Gyroscope: X: 332.50 Y: -262.50 Z: 140.00
2025-02-22 15:41:17,933
2025-02-22 15:41:18,Accelerometer: X: -119.07 Y: -31.72 Z: -965.87
2025-02-22 15:41:18,Gyroscope: X: 402.50 Y: -297.50 Z: 140.00
2025-02-22 15:41:18,932
2025-02-22 15:41:18,Accelerometer: X: -118.83 Y: -31.72 Z: -966.00
2025-02-22 15:41:19,Gyroscope: X: 385.00 Y: -262.50 Z: 175.00
2025-02-22 15:41:19,933
2025-02-22 15:41:20,Accelerometer: X: -119.07 Y: -31.60 Z: -966.00
2025-02-22 15:41:20,Gyroscope: X: 385.00 Y: -350.00 Z: 157.50
2025-02-22 15:41:20,932
2025-02-22 15:41:21,Accelerometer: X: -118.95 Y: -31.72 Z: -965.87
2025-02-22 15:41:21,Gyroscope: X: 402.50 Y: -332.50 Z: 157.50
2025-02-22 15:41:21,934
2025-02-22 15:41:22,Accelerometer: X: -118.95 Y: -31.60 Z: -965.75
2025-02-22 15:41:22,Gyroscope: X: 385.00 Y: -297.50 Z: 157.50
2025-02-22 15:41:22,933
2025-02-22 15:41:23,Accelerometer: X: -118.95 Y: -31.72 Z: -965.75
2025-02-22 15:41:23,Gyroscope: X: 385.00 Y: -315.00 Z: 192.50
2025-02-22 15:41:23,933
2025-02-22 15:41:24,Accelerometer: X: -118.95 Y: -31.72 Z: -966.00
2025-02-22 15:41:24,Gyroscope: X: 402.50 Y: -315.00 Z: 157.50
2025-02-22 15:41:24,933
2025-02-22 15:41:25,Accelerometer: X: -118.95 Y: -31.72 Z: -965.87
2025-02-22 15:41:25,Gyroscope: X: 385.00 Y: -245.00 Z: 122.50
2025-02-22 15:41:25,933
2025-02-22 15:41:26,Accelerometer: X: -118.83 Y: -31.96 Z: -966.00
