Timestamp,Data
2025-02-22 15:54:18,Hello
2025-02-22 15:54:19,Reset.
2025-02-22 15:54:19,Applying settings.
2025-02-22 15:54:19,Accelerometer: X: 526.31 Y: 296.46 Z: -449.08
2025-02-22 15:54:20,Gyroscope: X: -10797.50 Y: 10937.50 Z: 105.00
2025-02-22 15:54:20,422
2025-02-22 15:54:20,Accelerometer: X: -1001.99 Y: -72.83 Z: 63.07
2025-02-22 15:54:21,Gyroscope: X: 315.00 Y: -280.00 Z: 87.50
2025-02-22 15:54:21,352
2025-02-22 15:54:21,Accelerometer: X: -1002.72 Y: -70.76 Z: 64.54
2025-02-22 15:54:22,Gyroscope: X: 560.00 Y: -350.00 Z: 87.50
2025-02-22 15:54:22,340
2025-02-22 15:54:22,Accelerometer: X: -1002.84 Y: -71.37 Z: 64.17
2025-02-22 15:54:23,Gyroscope: X: 315.00 Y: -437.50 Z: 157.50
2025-02-22 15:54:23,313
2025-02-22 15:54:23,Accelerometer: X: -1001.86 Y: -84.06 Z: 64.90
2025-02-22 15:54:24,Gyroscope: X: -192.50 Y: -420.00 Z: 105.00
2025-02-22 15:54:24,332
2025-02-22 15:54:24,Accelerometer: X: -1001.25 Y: -126.27 Z: 56.61
2025-02-22 15:54:25,Gyroscope: X: -22557.50 Y: -945.00 Z: 1470.00
2025-02-22 15:54:25,338
2025-02-22 15:54:25,Accelerometer: X: -1002.84 Y: -72.22 Z: 63.68
2025-02-22 15:54:25,Gyroscope: X: 227.50 Y: -385.00 Z: 157.50
2025-02-22 15:54:26,334
2025-02-22 15:54:26,Accelerometer: X: -1002.60 Y: -72.96 Z: 65.27
2025-02-22 15:54:26,Gyroscope: X: 402.50 Y: -350.00 Z: 87.50
2025-02-22 15:54:27,334
2025-02-22 15:54:27,Accelerometer: X: -1002.60 Y: -72.22 Z: 63.68
2025-02-22 15:54:27,Gyroscope: X: 332.50 Y: -210.00 Z: 70.00
2025-02-22 15:54:27,329
2025-02-22 15:54:28,Accelerometer: X: -1002.60 Y: -73.44 Z: 64.78
2025-02-22 15:54:28,Gyroscope: X: 367.50 Y: -297.50 Z: 70.00
2025-02-22 15:54:28,324
2025-02-22 15:54:29,Accelerometer: X: -1002.72 Y: -70.27 Z: 64.17
2025-02-22 15:54:29,Gyroscope: X: 367.50 Y: -297.50 Z: 192.50
2025-02-22 15:54:29,324
2025-02-22 15:54:30,Accelerometer: X: -1002.35 Y: -83.57 Z: 63.68
2025-02-22 15:54:30,Gyroscope: X: -157.50 Y: -402.50 Z: 157.50
2025-02-22 15:54:30,323
2025-02-22 15:54:31,Accelerometer: X: -1001.86 Y: -97.23 Z: 58.07
2025-02-22 15:54:31,Gyroscope: X: -14525.00 Y: -157.50 Z: 1190.00
2025-02-22 15:54:32,332
2025-02-22 15:54:32,Accelerometer: X: -1002.60 Y: -72.59 Z: 63.68
2025-02-22 15:54:32,Gyroscope: X: 367.50 Y: -420.00 Z: 280.00
2025-02-22 15:54:33,341
2025-02-22 15:54:33,Accelerometer: X: -1002.60 Y: -72.96 Z: 64.78
2025-02-22 15:54:33,Gyroscope: X: 297.50 Y: -402.50 Z: 175.00
2025-02-22 15:54:34,331
